"Series";"Time";"Value"
"CPU0";"2020-03-23T21:30:00";80
"CPU0";"2020-03-23T21:30:00";78
"CPU0";"2020-03-23T21:30:00";79
"CPU0";"2020-03-23T22:00:00";78
"CPU0";"2020-03-23T22:00:00";79
"CPU0";"2020-03-23T22:00:00";80
"CPU0";"2020-03-23T22:30:00";78
"CPU0";"2020-03-23T22:30:00";80
"CPU0";"2020-03-23T22:30:00";79
"CPU0";"2020-03-23T23:00:00";78
"CPU0";"2020-03-23T23:00:00";79
"CPU0";"2020-03-23T23:00:00";80
"CPU0";"2020-03-23T23:00:00";77
"CPU0";"2020-03-23T23:30:00";80
"CPU0";"2020-03-23T23:30:00";79
"CPU0";"2020-03-23T23:30:00";78
"CPU0";"2020-03-23T23:30:00";77
"CPU0";"2020-03-24T00:00:00";78
"CPU0";"2020-03-24T00:00:00";79
"CPU0";"2020-03-24T00:00:00";77
"CPU0";"2020-03-24T00:30:00";79
"CPU0";"2020-03-24T00:30:00";78
"CPU0";"2020-03-24T00:30:00";77
"CPU0";"2020-03-24T01:00:00";78
"CPU0";"2020-03-24T01:00:00";79
"CPU0";"2020-03-24T01:00:00";77
"CPU0";"2020-03-24T01:30:00";78
"CPU0";"2020-03-24T01:30:00";79
"CPU0";"2020-03-24T01:30:00";77
"CPU0";"2020-03-24T02:00:00";78
"CPU0";"2020-03-24T02:00:00";77
"CPU0";"2020-03-24T02:00:00";79
"CPU0";"2020-03-24T02:30:00";78
"CPU0";"2020-03-24T02:30:00";77
"CPU0";"2020-03-24T02:30:00";79
"CPU0";"2020-03-24T03:00:00";77
"CPU0";"2020-03-24T03:00:00";79
"CPU0";"2020-03-24T03:00:00";78
"CPU0";"2020-03-24T03:30:00";78
"CPU0";"2020-03-24T03:30:00";77
"CPU0";"2020-03-24T03:30:00";79
"CPU0";"2020-03-24T04:00:00";77
"CPU0";"2020-03-24T04:00:00";78
"CPU0";"2020-03-24T04:00:00";79
"CPU0";"2020-03-24T04:30:00";79
"CPU0";"2020-03-24T04:30:00";77
"CPU0";"2020-03-24T04:30:00";78
"CPU0";"2020-03-24T05:00:00";77
"CPU0";"2020-03-24T05:00:00";79
"CPU0";"2020-03-24T05:00:00";78
"CPU0";"2020-03-24T05:00:00";76
"CPU0";"2020-03-24T05:30:00";77
"CPU0";"2020-03-24T05:30:00";78
"CPU0";"2020-03-24T05:30:00";79
"CPU0";"2020-03-24T05:30:00";76
"CPU0";"2020-03-24T06:00:00";77
"CPU0";"2020-03-24T06:00:00";79
"CPU0";"2020-03-24T06:00:00";78
"CPU0";"2020-03-24T06:00:00";76
"CPU0";"2020-03-24T06:30:00";79
"CPU0";"2020-03-24T06:30:00";77
"CPU0";"2020-03-24T06:30:00";78
"CPU0";"2020-03-24T07:00:00";77
"CPU0";"2020-03-24T07:00:00";76
"CPU0";"2020-03-24T07:00:00";78
"CPU0";"2020-03-24T07:00:00";79
"CPU0";"2020-03-24T07:30:00";78
"CPU0";"2020-03-24T07:30:00";77
"CPU0";"2020-03-24T07:30:00";76
"CPU0";"2020-03-24T07:30:00";79
"CPU0";"2020-03-24T08:00:00";77
"CPU0";"2020-03-24T08:00:00";78
"CPU0";"2020-03-24T08:00:00";76
"CPU0";"2020-03-24T08:30:00";78
"CPU0";"2020-03-24T08:30:00";79
"CPU0";"2020-03-24T08:30:00";77
"CPU0";"2020-03-24T08:30:00";76
"CPU0";"2020-03-24T09:00:00";76
"CPU0";"2020-03-24T09:00:00";77
"CPU0";"2020-03-24T09:00:00";78
"CPU0";"2020-03-24T09:00:00";79
"CPU0";"2020-03-24T09:30:00";77
"CPU0";"2020-03-24T09:30:00";78
"CPU0";"2020-03-24T10:00:00";77
"CPU0";"2020-03-24T10:00:00";78
"CPU0";"2020-03-24T10:00:00";79
"CPU0";"2020-03-24T10:00:00";76
"CPU0";"2020-03-24T10:30:00";78
"CPU0";"2020-03-24T10:30:00";77
"CPU0";"2020-03-24T10:30:00";79
"CPU0";"2020-03-24T11:00:00";77
