"Series";"Time";"Value"
"CPU0";"2019-08-27T04:36:00";79
"CPU0";"2019-08-27T04:38:00";78
"CPU0";"2019-08-27T04:40:00";78
"CPU0";"2019-08-27T04:40:00";79
"CPU0";"2019-08-27T04:42:00";78
"CPU0";"2019-08-27T04:44:00";79
"CPU0";"2019-08-27T04:46:00";78
"CPU0";"2019-08-27T04:46:00";77
"CPU0";"2019-08-27T04:48:00";78
"CPU0";"2019-08-27T04:48:00";77
"CPU0";"2019-08-27T04:50:00";78
"CPU0";"2019-08-27T04:52:00";79
"CPU0";"2019-08-27T04:52:00";78
"CPU0";"2019-08-27T04:54:00";78
"CPU0";"2019-08-27T04:54:00";77
"CPU0";"2019-08-27T04:56:00";78
"CPU0";"2019-08-27T04:58:00";78
"CPU0";"2019-08-27T05:00:00";79
"CPU0";"2019-08-27T05:00:00";77
"CPU0";"2019-08-27T05:02:00";78
"CPU0";"2019-08-27T05:02:00";77
"CPU0";"2019-08-27T05:04:00";77
"CPU0";"2019-08-27T05:04:00";79
"CPU0";"2019-08-27T05:06:00";78
"CPU0";"2019-08-27T05:08:00";79
"CPU0";"2019-08-27T05:08:00";78
"CPU0";"2019-08-27T05:10:00";78
"CPU0";"2019-08-27T05:12:00";79
"CPU0";"2019-08-27T05:12:00";78
"CPU0";"2019-08-27T05:14:00";78
"CPU0";"2019-08-27T05:16:00";79
"CPU0";"2019-08-27T05:16:00";78
"CPU0";"2019-08-27T05:18:00";77
"CPU0";"2019-08-27T05:18:00";78
"CPU0";"2019-08-27T05:20:00";79
"CPU0";"2019-08-27T05:22:00";78
"CPU0";"2019-08-27T05:22:00";77
"CPU0";"2019-08-27T05:24:00";78
"CPU0";"2019-08-27T05:24:00";79
"CPU0";"2019-08-27T05:26:00";78
"CPU0";"2019-08-27T05:26:00";77
"CPU0";"2019-08-27T05:28:00";79
"CPU0";"2019-08-27T05:30:00";78
"CPU0";"2019-08-27T05:32:00";79
"CPU0";"2019-08-27T05:32:00";77
"CPU0";"2019-08-27T05:34:00";77
"CPU0";"2019-08-27T05:34:00";78
"CPU0";"2019-08-27T05:36:00";78
"CPU0";"2019-08-27T05:36:00";79
"CPU0";"2019-08-27T05:38:00";77
"CPU0";"2019-08-27T05:38:00";78
"CPU0";"2019-08-27T05:40:00";79
"CPU0";"2019-08-27T05:42:00";77
"CPU0";"2019-08-27T05:42:00";78
"CPU0";"2019-08-27T05:44:00";80
"CPU0";"2019-08-27T05:44:00";79
"CPU0";"2019-08-27T05:46:00";78
"CPU0";"2019-08-27T05:48:00";79
"CPU0";"2019-08-27T05:48:00";78
"CPU0";"2019-08-27T05:50:00";78
"CPU0";"2019-08-27T05:52:00";78
"CPU0";"2019-08-27T05:52:00";79
"CPU0";"2019-08-27T05:54:00";78
"CPU0";"2019-08-27T05:56:00";79
"CPU0";"2019-08-27T05:58:00";78
"CPU0";"2019-08-27T06:00:00";78
"CPU0";"2019-08-27T06:00:00";79
"CPU0";"2019-08-27T06:02:00";78
"CPU0";"2019-08-27T06:04:00";79
"CPU0";"2019-08-27T06:06:00";78
"CPU0";"2019-08-27T06:08:00";78
"CPU0";"2019-08-27T06:10:00";78
"CPU0";"2019-08-27T06:10:00";77
"CPU0";"2019-08-27T06:12:00";79
"CPU0";"2019-08-27T06:12:00";78
"CPU0";"2019-08-27T06:14:00";77
"CPU0";"2019-08-27T06:16:00";79
"CPU0";"2019-08-27T06:16:00";77
"CPU0";"2019-08-27T06:18:00";77
"CPU0";"2019-08-27T06:18:00";78
"CPU0";"2019-08-27T06:20:00";79
"CPU0";"2019-08-27T06:20:00";78
"CPU0";"2019-08-27T06:22:00";77
"CPU0";"2019-08-27T06:22:00";78
"CPU0";"2019-08-27T06:24:00";78
"CPU0";"2019-08-27T06:24:00";79
"CPU0";"2019-08-27T06:26:00";78
"CPU0";"2019-08-27T06:28:00";79
"CPU0";"2019-08-27T06:30:00";77
"CPU0";"2019-08-27T06:30:00";78
"CPU0";"2019-08-27T06:32:00";78
"CPU0";"2019-08-27T06:32:00";79
"CPU0";"2019-08-27T06:34:00";78
"CPU0";"2019-08-27T06:36:00";79
"CPU0";"2019-08-27T06:38:00";77
"CPU0";"2019-08-27T06:38:00";78
"CPU0";"2019-08-27T06:40:00";79
"CPU0";"2019-08-27T06:42:00";78
"CPU0";"2019-08-27T06:44:00";77
"CPU0";"2019-08-27T06:44:00";79
"CPU0";"2019-08-27T06:46:00";77
"CPU0";"2019-08-27T06:48:00";80
"CPU0";"2019-08-27T06:48:00";78
"CPU0";"2019-08-27T06:50:00";77
"CPU0";"2019-08-27T06:50:00";78
"CPU0";"2019-08-27T06:52:00";77
"CPU0";"2019-08-27T06:52:00";79
"CPU0";"2019-08-27T06:54:00";77
"CPU0";"2019-08-27T06:54:00";78
"CPU0";"2019-08-27T06:56:00";78
"CPU0";"2019-08-27T06:58:00";77
"CPU0";"2019-08-27T06:58:00";78
"CPU0";"2019-08-27T07:00:00";77
"CPU0";"2019-08-27T07:00:00";79
"CPU0";"2019-08-27T07:02:00";78
"CPU0";"2019-08-27T07:04:00";77
"CPU0";"2019-08-27T07:04:00";79
"CPU0";"2019-08-27T07:06:00";77
"CPU0";"2019-08-27T07:06:00";78
"CPU0";"2019-08-27T07:08:00";79
"CPU0";"2019-08-27T07:08:00";78
"CPU0";"2019-08-27T07:10:00";78
"CPU0";"2019-08-27T07:10:00";77
"CPU0";"2019-08-27T07:12:00";78
"CPU0";"2019-08-27T07:14:00";78
"CPU0";"2019-08-27T07:14:00";77
"CPU0";"2019-08-27T07:16:00";78
"CPU0";"2019-08-27T07:16:00";79
"CPU0";"2019-08-27T07:18:00";78
"CPU0";"2019-08-27T07:20:00";79
"CPU0";"2019-08-27T07:22:00";78
"CPU0";"2019-08-27T07:24:00";78
"CPU0";"2019-08-27T07:24:00";77
"CPU0";"2019-08-27T07:26:00";77
"CPU0";"2019-08-27T07:26:00";78
"CPU0";"2019-08-27T07:28:00";77
"CPU0";"2019-08-27T07:28:00";79
"CPU0";"2019-08-27T07:30:00";78
"CPU0";"2019-08-27T07:32:00";77
"CPU0";"2019-08-27T07:32:00";78
"CPU0";"2019-08-27T07:34:00";78
"CPU0";"2019-08-27T07:36:00";79
"CPU0";"2019-08-27T07:38:00";77
"CPU0";"2019-08-27T07:38:00";78
"CPU0";"2019-08-27T07:40:00";78
"CPU0";"2019-08-27T07:40:00";79
"CPU0";"2019-08-27T07:42:00";78
"CPU0";"2019-08-27T07:44:00";78
"CPU0";"2019-08-27T07:46:00";77
"CPU0";"2019-08-27T07:46:00";78
"CPU0";"2019-08-27T07:48:00";78
"CPU0";"2019-08-27T07:48:00";77
"CPU0";"2019-08-27T07:50:00";78
"CPU0";"2019-08-27T07:52:00";78
"CPU0";"2019-08-27T07:52:00";79
"CPU0";"2019-08-27T07:54:00";78
"CPU0";"2019-08-27T07:56:00";79
"CPU0";"2019-08-27T07:58:00";77
"CPU0";"2019-08-27T07:58:00";78
"CPU0";"2019-08-27T08:00:00";79
"CPU0";"2019-08-27T08:02:00";78
"CPU0";"2019-08-27T08:02:00";77
"CPU0";"2019-08-27T08:04:00";79
"CPU0";"2019-08-27T08:06:00";78
"CPU0";"2019-08-27T08:08:00";79
"CPU0";"2019-08-27T08:10:00";78
"CPU0";"2019-08-27T08:12:00";79
"CPU0";"2019-08-27T08:14:00";78
"CPU0";"2019-08-27T08:16:00";79
"CPU0";"2019-08-27T08:18:00";78
"CPU0";"2019-08-27T08:20:00";77
"CPU0";"2019-08-27T08:20:00";79
"CPU0";"2019-08-27T08:22:00";78
"CPU0";"2019-08-27T08:24:00";79
"CPU0";"2019-08-27T08:24:00";78
"CPU0";"2019-08-27T08:26:00";78
"CPU0";"2019-08-27T08:28:00";79
"CPU0";"2019-08-27T08:28:00";78
"CPU0";"2019-08-27T08:30:00";77
"CPU0";"2019-08-27T08:30:00";78
"CPU0";"2019-08-27T08:32:00";78
"CPU0";"2019-08-27T08:32:00";79
"CPU0";"2019-08-27T08:34:00";78
"CPU0";"2019-08-27T08:36:00";79
"CPU0";"2019-08-27T08:38:00";78
"CPU0";"2019-08-27T08:40:00";79
"CPU0";"2019-08-27T08:40:00";78
"CPU0";"2019-08-27T08:42:00";78
"CPU0";"2019-08-27T08:44:00";78
"CPU0";"2019-08-27T08:44:00";79
"CPU0";"2019-08-27T08:46:00";78
"CPU0";"2019-08-27T08:46:00";77
"CPU0";"2019-08-27T08:48:00";78
"CPU0";"2019-08-27T08:48:00";79
"CPU0";"2019-08-27T08:50:00";77
"CPU0";"2019-08-27T08:52:00";79
"CPU0";"2019-08-27T08:54:00";78
"CPU0";"2019-08-27T08:56:00";79
"CPU0";"2019-08-27T08:56:00";78
"CPU0";"2019-08-27T08:58:00";78
"CPU0";"2019-08-27T09:00:00";79
"CPU0";"2019-08-27T09:00:00";78
"CPU0";"2019-08-27T09:02:00";78
"CPU0";"2019-08-27T09:02:00";77
"CPU0";"2019-08-27T09:04:00";79
"CPU0";"2019-08-27T09:06:00";78
"CPU0";"2019-08-27T09:06:00";77
"CPU0";"2019-08-27T09:08:00";79
"CPU0";"2019-08-27T09:10:00";78
"CPU0";"2019-08-27T09:10:00";77
"CPU0";"2019-08-27T09:12:00";79
"CPU0";"2019-08-27T09:14:00";77
"CPU0";"2019-08-27T09:16:00";79
"CPU0";"2019-08-27T09:18:00";78
"CPU0";"2019-08-27T09:20:00";78
"CPU0";"2019-08-27T09:22:00";78
"CPU0";"2019-08-27T09:24:00";79
"CPU0";"2019-08-27T09:26:00";78
"CPU0";"2019-08-27T09:28:00";80
"CPU0";"2019-08-27T09:28:00";79
"CPU0";"2019-08-27T09:30:00";78
"CPU0";"2019-08-27T09:32:00";79
"CPU0";"2019-08-27T09:32:00";78
"CPU0";"2019-08-27T09:34:00";78
"CPU0";"2019-08-27T09:36:00";80
"CPU0";"2019-08-27T09:36:00";79
"CPU0";"2019-08-27T09:38:00";78
"CPU0";"2019-08-27T09:40:00";79
"CPU0";"2019-08-27T09:42:00";78
"CPU0";"2019-08-27T09:44:00";79
"CPU0";"2019-08-27T09:44:00";78
"CPU0";"2019-08-27T09:46:00";78
"CPU0";"2019-08-27T09:48:00";78
"CPU0";"2019-08-27T09:48:00";79
"CPU0";"2019-08-27T09:50:00";78
"CPU0";"2019-08-27T09:52:00";79
"CPU0";"2019-08-27T09:54:00";78
"CPU0";"2019-08-27T09:56:00";79
"CPU0";"2019-08-27T09:56:00";80
"CPU0";"2019-08-27T09:58:00";78
"CPU0";"2019-08-27T10:00:00";79
"CPU0";"2019-08-27T10:02:00";78
"CPU0";"2019-08-27T10:04:00";79
"CPU0";"2019-08-27T10:06:00";78
"CPU0";"2019-08-27T10:08:00";79
"CPU0";"2019-08-27T10:10:00";78
"CPU0";"2019-08-27T10:12:00";79
"CPU0";"2019-08-27T10:14:00";78
"CPU0";"2019-08-27T10:16:00";80
"CPU0";"2019-08-27T10:16:00";79
"CPU0";"2019-08-27T10:18:00";78
"CPU0";"2019-08-27T10:18:00";79
"CPU0";"2019-08-27T10:20:00";79
"CPU0";"2019-08-27T10:22:00";78
"CPU0";"2019-08-27T10:24:00";78
"CPU0";"2019-08-27T10:24:00";79
"CPU0";"2019-08-27T10:26:00";78
"CPU0";"2019-08-27T10:28:00";80
"CPU0";"2019-08-27T10:28:00";79
"CPU0";"2019-08-27T10:30:00";78
"CPU0";"2019-08-27T10:32:00";79
"CPU0";"2019-08-27T10:34:00";78
"CPU0";"2019-08-27T10:34:00";79
"CPU0";"2019-08-27T10:36:00";80
"CPU0";"2019-08-27T10:38:00";78
"CPU0";"2019-08-27T10:40:00";80
"CPU0";"2019-08-27T10:40:00";78
"CPU0";"2019-08-27T10:42:00";78
"CPU0";"2019-08-27T10:44:00";78
"CPU0";"2019-08-27T10:44:00";80
"CPU0";"2019-08-27T10:46:00";78
"CPU0";"2019-08-27T10:48:00";78
"CPU0";"2019-08-27T10:48:00";79
"CPU0";"2019-08-27T10:50:00";78
"CPU0";"2019-08-27T10:52:00";79
"CPU0";"2019-08-27T10:54:00";79
"CPU0";"2019-08-27T10:54:00";78
"CPU0";"2019-08-27T10:56:00";79
"CPU0";"2019-08-27T10:58:00";78
"CPU0";"2019-08-27T11:00:00";79
"CPU0";"2019-08-27T11:02:00";78
"CPU0";"2019-08-27T11:04:00";79
"CPU0";"2019-08-27T11:06:00";78
"CPU0";"2019-08-27T11:08:00";80
"CPU0";"2019-08-27T11:10:00";78
"CPU0";"2019-08-27T11:12:00";79
"CPU0";"2019-08-27T11:14:00";78
"CPU0";"2019-08-27T11:16:00";80
"CPU0";"2019-08-27T11:16:00";79
"CPU0";"2019-08-27T11:18:00";79
"CPU0";"2019-08-27T11:18:00";78
"CPU0";"2019-08-27T11:20:00";80
"CPU0";"2019-08-27T11:20:00";79
"CPU0";"2019-08-27T11:22:00";78
"CPU0";"2019-08-27T11:22:00";79
"CPU0";"2019-08-27T11:24:00";79
"CPU0";"2019-08-27T11:26:00";78
"CPU0";"2019-08-27T11:26:00";79
"CPU0";"2019-08-27T11:28:00";80
"CPU0";"2019-08-27T11:28:00";78
"CPU0";"2019-08-27T11:30:00";78
"CPU0";"2019-08-27T11:32:00";79
"CPU0";"2019-08-27T11:34:00";78
"CPU0";"2019-08-27T11:34:00";79
"CPU0";"2019-08-27T11:36:00";80
"CPU0";"2019-08-27T11:36:00";81
"CPU0";"2019-08-27T11:38:00";78
"CPU0";"2019-08-27T11:40:00";79
"CPU0";"2019-08-27T11:40:00";80
"CPU0";"2019-08-27T11:42:00";78
"CPU0";"2019-08-27T11:44:00";80
"CPU0";"2019-08-27T11:46:00";78
"CPU0";"2019-08-27T11:48:00";79
"CPU0";"2019-08-27T11:48:00";80
"CPU0";"2019-08-27T11:50:00";78
"CPU0";"2019-08-27T11:52:00";78
"CPU0";"2019-08-27T11:52:00";80
"CPU0";"2019-08-27T11:54:00";78
"CPU0";"2019-08-27T11:56:00";80
"CPU0";"2019-08-27T11:56:00";79
"CPU0";"2019-08-27T11:58:00";78
"CPU0";"2019-08-27T12:00:00";78
"CPU0";"2019-08-27T12:00:00";79
"CPU0";"2019-08-27T12:02:00";78
"CPU0";"2019-08-27T12:04:00";80
"CPU0";"2019-08-27T12:04:00";79
"CPU0";"2019-08-27T12:06:00";79
"CPU0";"2019-08-27T12:08:00";79
"CPU0";"2019-08-27T12:08:00";80
"CPU0";"2019-08-27T12:10:00";78
"CPU0";"2019-08-27T12:10:00";79
"CPU0";"2019-08-27T12:12:00";79
"CPU0";"2019-08-27T12:12:00";80
